Title,Source,Published,Target Accounts,Link
US Carlyle Group agrees to buy Lukoil's global assets after sanctions pressure - MSN,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Fri, 30 Jan 2026 10:27:16 GMT","Carlyle Group, The Carlyle Group",https://news.google.com/rss/articles/CBMixgFBVV95cUxPMUYxZWhZUThlaHNiSEhFeU9IUnBKZ0I1WktVVTlfVnBHOUV6UlpFa05fWFJ2a2dxX0xlSEZFa2JxV3hYdGtodmZfQ000V1VsdVg3c21VVEg3QzJWV1BUT0NPajdDUjNoVnNIczZqSlBkdjliLWIzMXAtUUhkMlE2OEpZeHliSkV5ZVZkVUZQVWswbUduT3FRVUxEYzNiUnZJQzFtYkZkdzhDODY3enhCLWxOanViVlh0dzEwaFdSM3p4SUp3cHc?oc=5
Carlyle in talks to acquire Lukoil’s international assets - Splash247,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Fri, 30 Jan 2026 05:13:32 GMT",The Carlyle Group,https://news.google.com/rss/articles/CBMihgFBVV95cUxNLTBneVU4RVB0Qlk1OWdTNmV4YTlTMXJWQVJtUDdEaGMzWnMxZHBzU3pxekFnZHFqYWpHd1cwZXVNUGROVUYtUVloUGI3Ullib3BHRG5zMFJQd3JTRmF3Wk1xTjNVTkM5Vk95dkFnQ0NLVlc5MjRVXzU3X0hkX2dEdzB1NTRDZw?oc=5
NWD shares jump after market views likely stake sale to Blackstone as positive - South China Morning Post,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Thu, 29 Jan 2026 16:24:38 GMT",Blackstone,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYUtzaFF0cnRHZVBTeXRlcFJNdEk5ck82QUE3MnFXZkJNWS1jQk9UbE4tMEowNFBTYnVBdU5IdE9WdVhZZW5rYVN6QWFuYndScGFaVDB1ZS1zNGhfdHhNc1lYMmZ3eGNyUFo0eXpMclJtODlHUlVVMzdOOVpfOUItVWdkTll3NTRjN1A5V2lwVmkzNDJRZGRxYzB5VDA3bl9VMnotcVNCRkxEOXlwOFZIZTk0RlMyMjBqUDl1aXpUMDPSAcABQVVfeXFMUFdzZTVvX2dfWE5RVW5DOTNtbVp2Yk5rNG5SSl9aMm1OQ2VKdW9Ec2g2TTBYcEhCUmxSWVhZVXNDQkJGbVRZOEZnV0hQZGlCVDdGTHQ3Y1d1cUtkZk1hUmlmZzFtS1M0Z0d1MzlPMktVc3l1Rk8xNFR0Szd6cDNWLTdqeHJoSlk3MHRiOVhuT3U1T2t3cjk5TWhpTGVLUHlpYm5JQkZISGFNWUpvWmFTN0FKSGRYWW9hNkhjeURoUFh2?oc=5
KKR frontrunner to lead ‘€2.75bn’ CVC Global Sport Group investment - SportsPro,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Thu, 29 Jan 2026 15:53:19 GMT","CVC Capital Partners, KKR",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQZUl0TS1FUlB1THFaNThWeWtRRlJEZnNoT2cweXM5S3htMUxkSmNpOUpfQXVDc2xFa3hBM2ZBUG16TDFFYWhzXzNmaUVJbEVVdkgwei1sT3o3d0RqOGhGY0NXaXF0LV9pcDNnd1VmR3huNjZLcm5va0p5Mnd5bzc3QmRudUVGcXdBU3hFeVMzVW1yRGhScm41a1NoSWpDdHBTM2Fhdm9nUzJzeW8?oc=5
Carlyle to Buy Lukoil Assets | The Wall Street Journal - newspaper - Magzter,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Fri, 30 Jan 2026 09:20:52 GMT",The Carlyle Group,https://news.google.com/rss/articles/CBMimgFBVV95cUxPdmlwQWwydE1yeWg4V1FYSEw5dEZLb3FfXzVUd0dXa1NfVk5GNkJjVXcxeUlueTQ4N0JiZXdxbHFIdEFWN0I4TVcyUFl0NDFxQ1ZYdkpCenBndnBRMTk0OGJYOW9MUFc3YTFRRkZZdHdpcGVQVkZOX19DOTFpdUpFMDJnaW0zNG9yYmU4QUlWNzJJT3FNbVVXRk9n?oc=5
Enterprise House Bought by ESR and Carlyle: What the Stoke-on-Trent Deal Means for Logistics - GetTransport.com,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Fri, 30 Jan 2026 11:13:02 GMT",The Carlyle Group,https://news.google.com/rss/articles/CBMijwFBVV95cUxPaWlBWnFQbVNyWjhmM0ppRVlkWXRQemRDeDVyNG05dmE5NGFGaDFmelpZeWZrTTRXRjZ0N1dqM0pHSGJsbWJnMXpLanFtQ0VranBWN2l2V0VPZnM2RFJ4UnZraWs0aFZSWl9FeXdaUV9sa3dGeUQxU2t2aTJRWUU4Vkw3OTVzVzZQNXVTd3dmZw?oc=5
Blackstone’s (NYSE:BX) Q4 CY2025: Beats On Revenue - The Globe and Mail,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Thu, 29 Jan 2026 21:28:47 GMT",Blackstone,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNOXNJX3hxMERrV0ZzbEc0QTlfUG1oVWMtWjVIa2p5c1REQUNhczZ3Z2N5XzVmQlpuYjVJWVVOMXVzYkNvVHpUTE1EWTBYX1RMalJtQ3YtMUNRQ0xrM2RuMXNicWRmYUQyUjN1UkozUXdTVkZMTUZ5Rm5sSlFQWVpjZ3R2bS1wVlB1NVRXc0tqc2xveGttQ1o5VDY5aG5sNWplR3ZBMnBTWllmUHd2bGh1cU92Q2VhdmZWVlhqOFBkZHc4VF85ZzBjeA?oc=5
Carlyle's list of energy investments as it eyes Lukoil assets worth $22 billion - Reuters,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Thu, 29 Jan 2026 15:28:37 GMT",The Carlyle Group,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMnNFdUtCLUZDemZOMEFXYmJRVXg0VXFpbWx5MzFGelJIdkRuWmp0SWNLU2ZKZXBVMjdhd1BVd3VmdkREQkFMNjhmZGkxWS1jUW85OFZoT3VPdmMzT2ZUVVRkY0RVOVBCR3VhSFZnMXpnR1Y5RjNKVmd3eXUwOTVtM1Ftbk9FX1k2TTgxMXRYZkVKU1VWRnVpUF96Znc1aU5GLW1BZDJkUVBxQUVSU3dvR3Btdi1GeWZReXFNYjV2WEc?oc=5
Top Australian Mining Stocks This Week: Apollo Minerals Triples on Tungsten Exploration Permit Decision - Investing News Network,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Thu, 29 Jan 2026 22:00:00 GMT",Apollo Global Management,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5sRHJHR2pjb1lqSFJGTDRPa1dDRUdfNkNRcTN3Qk9WVnJVbWNCLUVXeW8xYjN1MTAzVHgyczVUNndiVHlLLU1pYlVMcnZqRjRGSGJwX3F5MHdhanJZWXc?oc=5
BofAS: Blackstone's Potential Acquisition of NWD Expected to Provide ST Boost to Developers - AASTOCKS.com,"""KKR OR Blackstone OR Carlyle OR Apollo ""acquisition"" OR ""buy"" when:2d"" - Google News","Fri, 30 Jan 2026 02:49:00 GMT",Blackstone,https://news.google.com/rss/articles/CBMifEFVX3lxTFBKVTlOZzNvWE1adTlGWDJtNnZHRHY5TzVkT0YxdHRsc3Bxc1Ffa0Q1RGE3RHpjbWx0dnhPejhyUmFfWmhjc0tnVklqTlBKM3RWcU9XZGE2WUlVTDZaYVZSZll0TWJ1bFh4ZkJsY1RYSUpGNHkwSUF0NVZ1RVM?oc=5
