Title,Source,Published,Target Accounts,Link
EQT Corp expects $114 million derivative gain for fourth quarter - Investing.com,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 22:37:21 GMT",EQT,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPM3pZNy1tYXpFbU5NZExKSExiZUlzUGtuR3d1ekZYX2hGSTFSQzlsOGo1N2IwQUF6V2s3bzF0YzE0STF3UzVIaXo5OXlZOTVyWkVadVRqMGRKMWVLRS1SMW9ZeVhMSnctSlQ2cm1CM0tzbU5lZi1Sbk5nME9TNkpPbXhpSlVpV0xieEw1eUdPc2VyX2JIaGx1OFBla3BpMGtCQW90LXFfTkNUckNRQ2RhbWZwQ2FPdy1GalpN?oc=5
France Blocks Eutelsat's Antenna Sale to EQT - marketscreener.com,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 09:32:24 GMT",EQT,https://news.google.com/rss/articles/CBMingFBVV95cUxPTU9JVzdmTDRlSUZWTUpCUldFd0t2WnZvc2ZoSlA0R1pyUXpJRXFFMVgwaHVSYlp4RlVMdHJqWTg0TEJpUnphVkh5cEs0aU9GVUgzOWpoaGFNVnQxcEdNUkxUVzVXYXE3azh6T29WWWVqT0RJME5JN1prWVp4OENqMy00emJxWl9PVU1SSmtzVDNGdDJJOHdvNWtCYWJyQQ?oc=5
Eutelsat’s €550m infrastructure asset sale to EQT falls through By Investing.com - Investing.com Nigeria,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 03:08:07 GMT",EQT,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNekpTb29WQ2R0R21CMmhoZ0pJbWVmYTdwdWo1TkVuenp0MWlJak1RT2tUM3d2MjhreXRLcmdGX0dJNm5vZjNZWmRwY3BDTVdWellhcUJackFLNUFMTFdSdWY0QUNpQldQTmYtZ3NIYXJFcXAzS3c1X2tvMER1OFpVMkV6M2dRZnR2ZzRSUFMzVG14WjQtb3RUSkpSUkFCMXRGbUhIZ2JXSDRtNUZiMmpLWXVMWE80WThr?oc=5
"Expert View: ICG, St James's Place, Easyjet, Crest Nicholson and Conduit Re - Citywire","""""Kelso & Company"" OR ""SK Capital Partners"" OR ""Leonard Green & Partners"" OR ""Sole Source Capital"" OR ""ICG"" when:2d"" - Google News","Fri, 30 Jan 2026 10:26:01 GMT",ICG,https://news.google.com/rss/articles/CBMixAFBVV95cUxNUURvNlZmTlk4OGJHQklMYWFfRlVKOEtzdERraGthMTk5ZmwxQVBwWFhBaWZZMWNNb0ZqWnQtOXpDYVVLY25XbGU1ajU2UDZCR1VQakhEQTMyNVllR3QzS253ckl1Nkc4TlY4WlFzRk0taGZZUTVEV1pxVG11VWd4TXo0cHNkVjVWNl9MRXFyUFJfVTZYN2JZSjJ1YlZhRy1QOUZPQVdXVzJOLURuZnhBVTNTaHExQXNTYXBXMUFUWXoydHQ0?oc=5
News | New Mountain Capital acquires Detroit-area industrial property for $32.4 million - CoStar,"""""BC Partners"" OR ""TA Associates"" OR ""New Mountain Capital"" OR ""The Carlyle Group"" OR ""MBK Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 19:02:21 GMT",New Mountain Capital,https://news.google.com/rss/articles/CBMivgFBVV95cUxQMzgtMUZPRXp2UlVXWndWM0xMLVYyZ1Z2cHF5LV9kcDRzM3FjZUhfUGxsSnZUMDljOGxRVkhERFhJY2RkSWFLN3VpY3Q3V0Y0NFRuMktma1gtazdRbE1PX3Joc2JMY3pVYXpLRXd4cmxnVllRa1dRVzRXbG5ScXBodnRPVkFkck5waVJzUXpNQVNJVjdSeXVQMk5TSjQxVWV1SUpyTUNleWx4clRoUUlfUkRNejBialVyR05ZRUJ3?oc=5
Russia's sanctioned oil firm Lukoil to sell foreign assets to Carlyle - news-graphic.com,"""""BC Partners"" OR ""TA Associates"" OR ""New Mountain Capital"" OR ""The Carlyle Group"" OR ""MBK Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 20:15:50 GMT",The Carlyle Group,https://news.google.com/rss/articles/CBMigwJBVV95cUxOc0VmSlRVa0gzN1JwRjJzbFhaYWxtYjBveUFfWkgza1NnRUg5ZjJfLW0yZ2t0TXM5QWpFS1RreWxnLWpkSXpIdGxCVHFVUV8wZV9COV8tWjFGb2RYdzlrdEJOOFZnUkRXUWFyUjd4T1QzSXVGSFJxN20xOVc1dnp6T2x0WFZTd3RqakdNX05veHhEWFNKczFSUkZPQVZDRmFLXzhMS09ndTNRSl9rcUotWVAxdWZfT1dVSXhpQUlYX1pDSUFxbWoxODgyRHoyQjU1SGVldGpKSVRVcFVudEZjUF85Rm9xRlVvck0wYWlqZjFrM0xmYVZiUzVKMmZVLXhhVU13?oc=5
"Russia’s Lukoil Agrees to Sell International Assets in Nigeria, Others to Carlyle - Business Post Nigeria","""""BC Partners"" OR ""TA Associates"" OR ""New Mountain Capital"" OR ""The Carlyle Group"" OR ""MBK Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 15:09:37 GMT",The Carlyle Group,https://news.google.com/rss/articles/CBMisgFBVV95cUxONU5VcVpIZUk4UWtjTTM1SUFGbGFPbTVyZFg1M3ZZRU5ZUGlQbThtdjFTQ0RZeTJxYVJBLUJnR1hDNDVfNGhwdU1kR1Jjc1YtY0xyRmg3WWVoUi1pVzlHVUdKYTE3YTUyaW1xLTJoZXduQV9yWkdacGJrZG15YVJjWjZqYjd4amJ5ZnNaZG5JT28zNFpCMHlnRVVKcXdTbWlOUFE1bkgtUVpPc1hkUDlBWW1B?oc=5
EQT Corp expects $114 million derivative gain for fourth quarter By Investing.com - Investing.com UK,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 22:06:48 GMT",EQT,https://news.google.com/rss/articles/CBMiygFBVV95cUxNN1FOYVhjVW1QYXJoZUF6N0FOVU1uS0dVVGJsSEJxNlAzYnFCcTVkMV9IdVk2Zk9SLVJhRTF2bVRVQ2pxNW1wbWFEZXhjNXlKT2x1YlRRMlJCeUtDZ1F2SWphamd4ODhjR1QtTUloMXNRaGlJVm4xbWRIbkt6ODVuZGxUdU0zZkpzRWZEdDFmaDNDdWlmTFN0cWRXUEVjdFdFME1POXlNcnF1bnBLdmdGSkVabFVSNmJScjEtMjIwa0xWV2YtRjNiTm13?oc=5
EQT’s Financial Strategy Gains Momentum Amidst Surging Gas Demand - AD HOC NEWS,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 19:01:04 GMT",EQT,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQcU8tclA1clFRMEx0LWlXTkhBdGFFY1hBaTZQYkI1WlBqX053N1k4MWtHd21XZzBLdGdjMHFCNEJ3blVxSVE4eExRZGVaMU9XTEV0YXluQjV6ZTBDZmZCUmVVMzZ5ZEphYlRJQjNtajF5WTl1SXl4Vm5MTGZQbWxtdmwzaFJWMzJWVUJpWkVRVXlNbEZwdnB5WFFpX0dscXFneS1DNkpkeUl4azZicndFQm9BSllBTGRJNUZR?oc=5
Eutelsat Halts the Sale of Its Ground Infrastructure to EQT - Idéal Investisseur,"""""Levine Leichtman Capital Partners"" OR ""EQT"" OR ""Incline Equity Partners"" OR ""EagleTree Capital"" OR ""PAI Partners"" when:2d"" - Google News","Thu, 29 Jan 2026 16:05:00 GMT",EQT,https://news.google.com/rss/articles/CBMiugFBVV95cUxOR0M2VEZwdUxydWJtVDhESEJ3TW9ZWXNLdExzVmI4WTlxS0JfS0YzSFowc1ROclpOcDhQeXNYVHMxVEVfSy1TbVlXcVpsVjQ1LV9fT0JpV2o4X3k3dXBLWWZRdjJ5V01LbEU5YU5MWlhMek9SOXVvdVRPbVZvdU1IdEk5RndrUnFNbmU5ZjcyckZ1eWwzdVFyZWVXT2hOcjdfcU81eTdYUTdFRk41a1RZSWloTGJ4cUFHQlE?oc=5
