Title,Source,Published,Link
"Killam Apartment REIT Completes Acquisition of 109-Unit Apartment Building in Halifax, Nova Scotia - Financial Times","""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 12:00:00 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxNaEVOREQ1eUlnRzZ1cFpQSUVfNjFWUzg4TTJNQ1dCZmVGb1NYeS1PUDlwTDZVbk9ULXQ5T1JiekFramNwOFdlWGtMYWxzblVPRXRwaHBJT2p2UFhDdWJVNWdOcEd3S2R1RVhvXzlkcktaWEE1M3U4Z01JS3RLN1l5MXQ2T2lScXFVVkdkSFZnZTFqWmRGakE?oc=5
Heavy Haul Rail launches as CMA CGM completes Freightliner acquisition - Railway Gazette International,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 09:34:01 GMT",https://news.google.com/rss/articles/CBMiugFBVV95cUxOQ3Y2aDZVNi1RVTNJQTZ5bFQxSWwyWERWWlZwcWFNbC1rMzk3NHBrbGw5WFRUZTRqeVB6SzZ6Z19EaHltdTJveS12b2xqeU1jSXVHR1MtbTg5VFRfUExiRDNOLVFmbUdWMlg4UzBTUXBDQ0JDUUxKNlNzdllGc3pxclN4eUxxTWk4WklHWlVSdXIySE9ZRG9HN3BucE1zTDdVWUpnbGRZWmtUYnFOUklFRHVFb3NjWWZ6UkE?oc=5
Anfield Tweaks Its Credit Deal To Clear A New Acquisition - Finimize,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 12:05:25 GMT",https://news.google.com/rss/articles/CBMijwFBVV95cUxQYnA3VHp1UEpNVVp0Nk9VcHB0NWlRTlNjVVJnVXl0UXdMQTd0WTZydmtTMXk5eU13U1hKcklFb2FGRFFCR0t4ZVJoM01pTUxjWUxtc1lkZXItaGpwU1Z4azBwV0lCWU9jV29YVnowMVRtWGQ3Vkl0WXVaSE9wUVYtOXp0LUo5OWMwOE9JZEs0UQ?oc=5
Report claims Concord is an acquisition target for BMG - Music Ally,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 12:38:12 GMT",https://news.google.com/rss/articles/CBMikgFBVV95cUxOSjItLVU5QzRwTEQxZklzLUhSNzNUT1BzYkpDZTEzdnd3ZTNNNXNURU8ycW80aC1RTUZkb3J5algzcDFLeE1McVA2a3RyY1ZpMG53MmJ5clRGaF9nbDlpX0pYQUJoakpLYUhjRDZIZzNTemJoMS12Zk9uNkdzeWRINWs5SW02cTN0TkUxQVlQdERCQQ?oc=5
Acquisition: Dgtgroup Builds €50m Integrator - invidis.com,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 04:14:47 GMT",https://news.google.com/rss/articles/CBMigwFBVV95cUxNQjdYOEdpVlBfTVFZcXI2V2JMMEx2OUliS2Z1UFNSRF83NFNNc0x5ZVoyQXNEY3pRVmxIWV9icmNkV0w2X2lERW1QRHpHejVCcG9aRkxQRHZ0OExzWWlVdGFrWVdwTjlLWm9EU3BTcGptdDZZcE5QalpjS2FGOU92UGgxMA?oc=5
Europa Metals To Withdraw From AIM After Acquisition Failures - Law360,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 12:40:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxPaGRpQTczU0IzenVDaHJuX0c2UVVoakE3R2h2QnlwdHJvV2NZMVJLaE92VW13cUQyYXhzRWlZRU0yS3RLRXhXQUhvQjEwTGJzMzVsQVVHS3ZDZE5sYXpfVnY1alhhRzZsSF9qY3lDeGNFYjJTZ0tnZ0VZa2xRWlVBMXluSkxZTVpLeG1UN1BGRlVoRmRUN185V3MwbzlpYnEweHpn0gFWQVVfeXFMT3BnODc1T251QkN4SVZJTlFWYXl4VF91YVRGejRJWm9USFE5NXp2dmRQV25TMUlBYzQwVFA2MDZoajhkYm14LW5jbjBKY1ZzcU9pT1F3T1E?oc=5
Apple buys Israeli start-up Q.AI for close to $2bn in race to build AI devices - Financial Times,"""acquisition when:2d"" - Google News","Thu, 29 Jan 2026 17:32:13 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE9BQVgzYmdzQWtRaG9MT05sZFFlTENwNFk2OWhPazhMN0xnLUh0SzdJQUJGRTRmV05neU8zUW1oYmlfdnhpUjQ5SGhndE9HOVA5MmUwazI0dVhPTExDV2ZwV3VOUmpsNXJSOUl3TWRpMkg?oc=5
Jerome Tang's buyout with Kansas State basketball would set a record - cjonline.com,"""buyout when:2d"" - Google News","Fri, 30 Jan 2026 09:04:00 GMT",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNeVl4ODdZOF9kNzlpbGNXbXQ2M3I5RDJkdDZ2OVBkeHo5V01vNGxMZ2dyZ1AxRXQyODRWSEtvWVJGYzVvaGV6RFU2Z1BaLTRFZ3JGS253U09tR2p5NzlHM1VRRTVUVlBESVV0bEo1WEFKTklxcVFCbUMzeTFNRVJzaXN1Y2lIWGtSd1F5QmZvdzdfQXhVdTdudVZ2UThSNXdDT29ZakNzckMzQjI1aWlZTVJYdk5UTVVnenlaSWZUU3VpWldwbE1aM3BBUDJoLWV1YWZ0bW5Ob2tMY1VL?oc=5
BOE votes to buy out former superintendent’s contract - wsaz.com,"""buyout when:2d"" - Google News","Fri, 30 Jan 2026 05:12:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOXlVUFNVOTJvS3hSbnhhSU9QdEtiUE14YzdoODVJUWVaUnFfQ1lzd0l0OVlfNGJkMk5FeXp0MndoT1pZcDJPT1A5RlBheUw3TXhGaThjaHZVVEZuRGJnUzA4eHFHdllCdnNnYWd3WXdNbmFBdzU1Y2htVEFjY0xMUVZ6aTBwSjhZ0gGcAUFVX3lxTE5PS2NhTzluaEdxS0QwTUtCaFRfZDB6cTJHQlRTNGxOTERjenFwbTBJcWd0NFJHMU5CYTFuanpzaWsxcDZpak1VcmVkQXkzeVVSejFDN0NuRUFQSjNNTVlVRzRXWFBtWWpneHpmNmlkMFliMEtucE1SRGxxWjdYUUR6ZVlyMFpjRlRHMXllZkpzN2MxQThDcFY2UmZRZA?oc=5
Lockheed Martin transfers $943 million in new pension buyout while lawsuit remains pending - Pensions & Investments,"""buyout when:2d"" - Google News","Thu, 29 Jan 2026 17:10:00 GMT",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQVGY5Q1RxcmtkM2l0UFdPUENVd2I2NnFDTl9GUHY1UlNOdmE4Y253bnhNTUZZdzZnY0FBSWRwdWZZMkFENVN6WGlVTmhtR3BSRXZTMHRCM0ZVYWJsd3kybk9vTE53VW8zNW5Ec2N0YndDcndfUHF4d182UjBOMGpYbDlrUlo0alpFeGFxSGRhVk5kbkpONFVpSjJ6SnVsQ0dUbE53Wl9CRDVYaEJaaDRuZjIxUEg1TXQ1VGRsaS1fSk1wVHM?oc=5
